2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5088, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5087, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5086, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5085, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5084, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5083, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5082, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5081, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5080, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5079, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5078, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5077, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5076, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5075, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5074, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5073, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5072, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5071, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5070, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5069, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5068, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5067, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5066, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5065, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5064, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5063, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5062, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5061, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5060, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5059, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5058, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5057, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5056, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5055, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5054, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5053, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5052, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5051, title=123, content=432, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5050, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:41, viewcnt=0] 
2018-05-04 15:21:27 [INFO ] [or.kosta.springmvc.board.BoardTest:79] Board [bno=5049, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:41, viewcnt=0] 
